,bid,impressions,total_cost,clicks,CTR,CPM,CPC
0,10,12880.0,413776.0,67,0.52,32125.47,6175.76
1,15,19476.0,672645.0,87,0.45,34537.12,7731.55
2,20,25836.0,944217.0,99,0.38,36546.56,9537.55
3,25,31835.0,1223545.0,105,0.33,38433.96,11652.81
4,30,37779.0,1494260.0,111,0.29,39552.66,13461.8
5,35,43775.0,1773814.0,117,0.27,40521.17,15160.8
6,40,49485.0,2051160.0,129,0.26,41450.14,15900.47
7,45,54789.0,2317593.0,133,0.24,42300.33,17425.51
8,50,58027.0,2500073.0,130,0.22,43084.65,19231.33
9,55,57063.0,2500004.0,114,0.2,43811.3,21929.86
10,60,56332.0,2500031.0,112,0.2,44380.3,22321.71
11,65,55519.0,2500053.0,114,0.21,45030.58,21930.29
12,70,54673.0,2500050.0,109,0.2,45727.32,22936.24
13,75,53951.0,2500007.0,103,0.19,46338.47,24271.91
14,80,53067.0,2500006.0,103,0.19,47110.37,24271.9
15,85,52349.0,2500001.0,96,0.18,47756.42,26041.68
16,90,51721.0,2500018.0,94,0.18,48336.61,26595.94
17,95,51086.0,2500010.0,91,0.18,48937.28,27472.64
18,100,50351.0,2500064.0,86,0.17,49652.72,29070.51
19,105,49863.0,2500040.0,84,0.17,50138.18,29762.38
20,110,49383.0,2500074.0,79,0.16,50626.21,31646.51
21,115,48812.0,2500015.0,78,0.16,51217.22,32051.47
22,120,48224.0,2500069.0,78,0.16,51842.84,32052.17
23,125,47728.0,2500072.0,76,0.16,52381.66,32895.68
24,130,47211.0,2500004.0,74,0.16,52953.85,33783.84
25,135,46776.0,2500012.0,73,0.16,53446.47,34246.74
26,140,46361.0,2500079.0,73,0.16,53926.34,34247.66
27,145,45995.0,2500001.0,72,0.16,54353.76,34722.24
28,150,45584.0,2500036.0,70,0.15,54844.59,35714.8
29,155,45293.0,2500151.0,68,0.15,55199.5,36766.93
30,160,44991.0,2500007.0,68,0.15,55566.82,36764.81
31,165,44646.0,2500124.0,66,0.15,55998.84,37880.67
32,170,44302.0,2500005.0,66,0.15,56430.97,37878.86
33,175,44016.0,2500094.0,65,0.15,56799.66,38462.98
34,180,43718.0,2500104.0,65,0.15,57187.06,38463.14
35,185,43467.0,2500010.0,64,0.15,57515.13,39062.66
36,190,43251.0,2500004.0,64,0.15,57802.22,39062.56
37,195,43005.0,2500011.0,63,0.15,58133.03,39682.71
38,200,42647.0,2500041.0,58,0.14,58621.73,43104.16
39,205,42313.0,2500083.0,58,0.14,59085.46,43104.88
40,210,42112.0,2500004.0,57,0.14,59365.6,43859.72
41,215,41866.0,2500108.0,57,0.14,59716.91,43861.54
42,220,41656.0,2500040.0,57,0.14,60016.32,43860.35
43,225,41513.0,2500031.0,57,0.14,60222.85,43860.19
44,230,41279.0,2500028.0,57,0.14,60564.16,43860.14
45,235,41067.0,2500057.0,57,0.14,60877.52,43860.65
46,240,40934.0,2500028.0,57,0.14,61074.61,43860.14
47,245,40691.0,2500076.0,57,0.14,61440.52,43860.98
48,250,40485.0,2500035.0,56,0.14,61752.13,44643.48
49,255,40313.0,2500072.0,56,0.14,62016.52,44644.14
50,260,40125.0,2500010.0,55,0.14,62305.55,45454.73
51,265,39982.0,2500005.0,54,0.14,62528.26,46296.39
52,270,39854.0,2500001.0,54,0.14,62728.99,46296.31
53,275,39691.0,2500007.0,54,0.14,62986.75,46296.43
54,280,39562.0,2500022.0,54,0.14,63192.51,46296.7
55,285,39463.0,2500001.0,54,0.14,63350.51,46296.31
56,290,39362.0,2500016.0,54,0.14,63513.44,46296.59
57,295,39241.0,2500174.0,54,0.14,63713.31,46299.52
